"UMR","Binder","YOA","Months","Premium","Earned","Total Claims","Quarter","YTD Premium","YTD Earned","YTD Total Claims","Loss Ratio"
"BW00153","Retail","2019","8/28/2019","128000","102400","10000","","996000","796800","66000","0.078125"
"BW00153","Retail","2019","10/1/2019","129000","103200","10500","","1125000","900000","76500","0.081395349"
"BW00153","Retail","2019","10/28/2019","130000","104000","11000","","1255000","1004000","87500","0.084615385"
"BW00153","Retail","2019","12/1/2019","131000","104800","11500","","1386000","1108800","99000","0.08778626"
"BW00153","Retail","2019","12/28/2019","132000","105600","12000","","1518000","1214400","111000","0.090909091"
"BW00154","Wholesale","2019","1/31/2019","121000","96800","6500","","121000","96800","6500","0.053719008"
"BW00154","Wholesale","2019","2/28/2019","122000","97600","7000","","243000","194400","13500","0.057377049"
"BW00154","Wholesale","2019","3/31/2019","123000","98400","7500","","366000","292800","21000","0.06097561"
"BW00154","Wholesale","2019","4/28/2019","124000","99200","8000","","490000","392000","29000","0.064516129"
"BW00154","Wholesale","2019","5/31/2019","125000","100000","8500","","615000","492000","37500","0.068"
"BW00154","Wholesale","2019","6/28/2019","126000","100800","9000","","741000","592800","46500","0.071428571"
"BW00154","Wholesale","2019","7/31/2019","127000","101600","9500","","868000","694400","56000","0.07480315"
"BW00154","Wholesale","2019","8/28/2019","128000","102400","10000","","996000","796800","66000","0.078125"
"BW00154","Wholesale","2019","10/1/2019","129000","103200","10500","","1125000","900000","76500","0.081395349"
"BW00154","Wholesale","2019","10/28/2019","130000","104000","11000","","1255000","1004000","87500","0.084615385"
"BW00154","Wholesale","2019","12/1/2019","131000","104800","11500","","1386000","1108800","99000","0.08778626"
"BW00154","Wholesale","2019","12/28/2019","132000","105600","12000","","1518000","1214400","111000","0.090909091"
